Year,T
2012,20.73
2012,19.34
2012,20.63
2012,21.08
2012,21.52
2012,22.68
2012,23.64
2012,24.41
2012,25.23
2012,25.08
2012,24.8
2012,25.58
2012,27.48
2012,28.22
2012,28.25
2012,27.7
2012,27.24
2012,27.6
2012,28.18
2012,26.19
2012,23.58
2012,22.42
2012,26.24
2012,27.48
2012,27.41
2012,28.83
2012,26.28
2012,21.36
2012,23.39
2012,25.71
2012,27
2012,29.33
2012,27.26
2012,25.54
2012,26.07
2012,26.62
2012,27.4
2012,26.41
2012,27.88
2012,27.01
2012,26.94
2012,28.22
2012,29.79
2012,29.76
2012,30.03
2012,32.42
2012,33.23
2012,32.36
2012,32.02
2012,31.83
2012,31.2
2012,29.18
2012,29.73
2012,30.63
2012,31.12
2012,31.67
2012,32.15
2012,30.4
2012,30.35
2012,29.63
2012,27.77
2012,29.04
2012,28.98
2012,29.34
2012,28.82
2012,26.74
2012,27.85
2012,29.42
2012,30.61
2012,32.13
2012,33.23
2012,34.28
2012,32.63
2012,30.69
2012,30.92
2012,31.95
2012,30.96
2012,31.93
2012,33.85
2012,34.67
2012,34.82
2012,34.89
2012,35.67
2012,35.35
2012,34.27
2012,33.87
2012,34.43
2012,34.45
2012,35.24
2012,32.71
2012,34.35
2012,31.31
2012,30.07
2012,32.35
2012,32.66
2012,30.57
2012,28.66
2012,29.39
2012,29.69
2012,27.15
2012,26.5
2012,25.87
2012,23.5
2012,25.05
2012,25.97
2012,28.14
2012,27.94
2012,27.65
2012,28.63
2012,28.39
2012,27.66
2012,29.4
2012,31.15
2012,31.15
2012,31.4
2012,31.83
2012,32.26
2012,32.77
2012,32.68
2012,32.91
2012,24.15
2012,25.32
2012,26.7
2012,26.74
2012,27.81
2012,26.12
2012,20.91
2012,20.02
2012,19.65
2012,23.25
2012,22.07
2012,21.79
2012,24.39
2012,26.37
2012,26.56
2012,27.05
2012,27.97
2012,27.97
2012,27.57
2012,26.65
2012,25.42
2012,21.22
2012,19.52
2012,20.26
2012,19.73
2012,20.67
2012,22.93
2012,22.46
2012,11.89
2012,10.84
2012,12.69
2012,18.26
2012,20.98
2012,23.96
2012,24.31
2012,23.93
2012,21.16
2012,19.76
2012,18.78
2012,21.02
2012,16.25
2012,16.64
2012,20.43
2012,25.6
2012,24.3
2012,24.02
2012,23.02
2012,20.4
2012,10.61
2012,8.27
2012,9.46
2012,11.54
2012,14.38
2012,18.28
2012,19.58
2012,21.13
2012,20.05
2012,16.85
2012,16.26
2012,14.21
2012,15.15
2012,17.63
2012,21.03
2012,21.04
2012,17.74
2012,7.07
2012,7.58
2012,9.13
2012,8.37
2012,9.4
2012,9.3
2012,12.44
2012,15.79
2012,17.66
2012,17.28
2012,17.27
2012,13.55
2012,7.92
2012,13.45
2012,15.13
2012,7.77
2012,9.75
2012,11.53
2012,16.25
2012,20.07
2012,20.69
2012,20.47
2012,15.79
2012,11.8
2012,13.62
2012,14.23
2012,14.74
2012,13.31
2012,1.81
2012,2.48
2012,4.57
2012,7.65
2012,10.8
2012,14.23
2012,13.68
2012,9.21
2012,11.92
2012,17.55
2012,5.45
2012,6.05
2012,9.36
2012,12.04
2012,4.75
2012,1.99
2012,-3.6
2012,0.76
2012,2.68
2012,0.36
2012,1.6
2012,4.77
2013,3.37
2013,0.45
2013,2.06
2013,4.44
2013,4.8
2013,4.06
2013,4.08
2013,7.57
2013,10.44
2013,10.99
2013,12.5
2013,10.71
2013,0.3
2013,-0.26
2013,-0.39
2013,1.07
2013,4.68
2013,6.07
2013,8.1
2013,10.53
2013,6.56
2013,8.29
2013,13.47
2013,15.03
2013,9.02
2013,10.04
2013,16.19
2013,20.36
2013,18.04
2013,6.67
2013,7.51
2013,5.27
2013,10.03
2013,11.28
2013,14.63
2013,14.56
2013,15.59
