Year,T,H,P
1991,14.93,4.74,0
1991,14.88,5.72,0.05
1991,14.94,4.58,0.09
1991,15.29,4.18,0
1991,15.11,4.1,0
1991,15.64,4.35,0
1991,15.66,4.2,0
1991,17.1,4.34,0
1991,16,5.4,0
1991,15.6,5.08,0
1991,18.88,5.16,0
1991,16.91,6.1,0
1991,13.48,7.74,0.02
1991,12.33,5.42,0
1991,12.49,4.1,0
1991,14.64,3.77,0
1991,16.42,4.21,0
1991,16.52,4.24,0
1991,14.65,5.56,0
1991,13.85,5.8,0
1991,14.2,4.95,0
1991,14.69,4.08,0
1991,13.99,6.36,4.01
1991,12.03,8.18,79.63
1991,12.11,8.61,33.38
1991,11.56,7.9,14.07
1991,10.94,6.53,0.05
1991,12.95,5.95,0.03
1991,14.88,8.27,4.27
1991,12.89,7.25,0.07
1991,10.08,4.68,0
1991,10.31,3.59,0
1991,11.84,3.82,0.02
1991,12.35,4.74,0.01
1991,11,6.35,1.28
1991,8.76,4.28,0.38
1991,10.26,4.35,0.06
1991,9.43,5.84,8.32
1991,9.06,5.15,0.68
1991,5.47,4.5,1.46
1991,6.93,4.16,0
1991,9.82,5.72,1.68
1991,11.54,7.22,36.64
1991,9.61,5.8,9.6
1991,8.36,5.8,14.91
1991,8.42,4.97,0.09
1991,9.15,5.28,0
1991,9.01,5.63,0.33
1991,9.11,5.75,1.99
1991,9.5,5.88,26.16
1991,8.2,5.71,25.58
1991,7.46,5.1,10.18
1991,9.68,5.37,0
1991,11.56,5.73,0.03
1991,14.32,5.3,0.04
1991,13.66,6.24,0.28
1991,11.22,6.63,0.53
1991,12.35,6.44,0
1991,15.74,6.19,0
1991,18.96,6.34,0
1991,18.79,7.38,0
1991,16.27,7.84,0
1991,14.02,6.03,0
1991,14.71,5.4,0
1991,17.41,5.6,0
1991,13.38,5.03,0
1991,10.34,3.5,0
1991,11.45,4.67,0
1991,13.18,5.61,0
1991,13.43,6.75,0
1991,11.76,6.97,0
1991,10.98,6.04,0
1991,11.41,6.19,0
1991,12.5,6.72,0
1991,12.38,6.6,0.01
1991,12.2,6.84,0.07
1991,13.05,7.14,0.02
1991,13.19,7.53,0
1991,14.23,7.55,0.04
1991,14.33,7.59,0.06
1991,13.55,6.49,0.07
1991,14.82,6.67,0
1991,16.06,5.51,0
1991,17.24,4.58,0
1991,17.57,6.02,0
1991,16.7,6.1,0
1991,12.93,5.79,0.04
1991,11.37,5.39,0
1991,13.48,6.28,0
1991,17,5.65,0
1991,20.39,5.84,0
1991,20.87,6.92,0
1991,21.34,7.84,0
1991,19.28,7.89,0
1991,12.98,4.97,0.23
1991,12.86,5.28,0.05
1991,12.93,6.38,0
1991,15.73,6.07,0
1991,14.9,7.18,0.02
1991,15.23,6.28,0.01
1991,18.04,6.62,0
1991,17.65,7.39,0
1991,15.39,5.96,0
1991,12.81,5.51,0
1991,13.21,6.24,0
1991,13.52,6.84,0
1991,13.59,6.89,0
1991,15.5,7.15,0
1991,18.42,7.87,0.02
1991,18.63,8.23,0
1991,18.11,8.02,0
1991,15.62,7.22,0
1991,14.76,6.8,0
1991,15.94,6.9,0
1991,15.48,6.73,0.02
1991,15.69,7.11,0.1
1991,15.4,5.46,0
1991,16.45,6.98,0
1991,17.56,7.55,0
1991,18.71,7.67,0
1991,17.56,7.59,0
1991,15.85,7.64,0
1991,16.38,6.98,0
1991,17.71,6.92,0.01
1991,17.82,7.16,0.01
1991,19.43,7.8,0
1991,21.07,7.76,0
1991,20.64,8.78,0
1991,19.75,8.68,0
1991,17.37,9.06,0
1991,16.82,8.19,0
1991,17.74,7.59,0
1991,20.34,6.94,0
1991,21.88,7.66,0
1991,18.69,8.9,0
1991,17.78,7.58,0
1991,17.5,7.38,0
1991,16.73,7.11,0
1991,17.32,6.9,0
1991,17.16,7.25,0
1991,16.71,7.32,0
1991,17.08,7.27,0
1991,17.3,7.82,0
1991,16.67,8.18,0.09
1991,17.17,9.02,0.09
1991,18.35,8.21,0
1991,22.08,7.57,0.03
1991,23.69,7.6,0
1991,23.24,8.27,0
1991,22.66,8.93,0
1991,23.81,9.2,0
1991,23.27,9.75,0
1991,21.89,10.08,0
1991,21.78,10.76,1.35
1991,21.97,10.74,0.41
1991,20.25,9.65,0.02
1991,19.36,9.35,0
1991,21.14,8.76,0
1991,21.56,8.96,0
1991,21.21,9.26,0
1991,20.56,9.25,0
1991,20.19,7.28,0
1991,19.34,8.99,0
1991,18.62,8.94,0
1991,18.29,9.64,0.2
1991,17.66,9.04,0.1
1991,17.92,8.67,0
1991,19.91,8.89,0
1991,20.42,9.09,0
1991,19.76,9.24,0
1991,19.67,9.45,0
1991,19.34,9.52,0
1991,19.88,9.16,0
1991,21.97,7.86,0
1991,24.23,7.4,0
1991,24.99,8.08,0
1991,25.2,8.91,0.42
1991,23.6,10.39,0.16
1991,22.59,9.69,0
1991,22.42,8.2,0
