Year,T
2008,23.82
2008,23.75
2008,22.75
2008,19.89
2008,17.65
2008,18.82
2008,21.1
2008,24.05
2008,26.12
2008,22.1
2008,21.17
2008,21.07
2008,21.94
2008,23.62
2008,24.32
2008,26.24
2008,26.58
2008,23.02
2008,21.18
2008,25.2
2008,25.39
2008,23.95
2008,19.58
2008,19.8
2008,23.45
2008,25.77
2008,27.53
2008,26.77
2008,26.88
2008,29.04
2008,29.02
2008,28.47
2008,28.67
2008,28.21
2008,27.63
2008,27.24
2008,27.16
2008,28.48
2008,28.87
2008,29.37
2008,29.19
2008,29.5
2008,29.72
2008,29.82
2008,28.98
2008,29.62
2008,30.19
2008,29.23
2008,29.17
2008,29.19
2008,29.64
2008,29.84
2008,30.22
2008,30.6
2008,30.23
2008,30
2008,29.9
2008,28.68
2008,29.17
2008,29.18
2008,29.18
2008,28.01
2008,27.79
2008,26.92
2008,28.42
2008,28.09
2008,28.9
2008,27.02
2008,27.26
2008,28.02
2008,28.24
2008,26.47
2008,27.07
2008,28.53
2008,29.06
2008,29.01
2008,28.79
2008,27.97
2008,29.27
2008,29.91
2008,30
2008,30.25
2008,28.96
2008,29.47
2008,29.68
2008,29.2
2008,29.3
2008,30
2008,30.37
2008,29.42
2008,27.17
2008,26.72
2008,28.87
2008,29.15
2008,29.31
2008,29.33
2008,29.64
2008,30.01
2008,30.55
2008,30.16
2008,30.7
2008,30.15
2008,30.71
2008,25.2
2008,27.25
2008,28.61
2008,28.7
2008,29.22
2008,29.77
2008,29.89
2008,28.09
2008,29.2
2008,29.61
2008,27.99
2008,27.39
2008,26.53
2008,25.86
2008,24.76
2008,26.42
2008,27.06
2008,26.67
2008,27.62
2008,27.5
2008,27.93
2008,28.2
2008,28.03
2008,28.21
2008,27.81
2008,28.4
2008,28.58
2008,28.37
2008,28.83
2008,28.38
2008,26.07
2008,25.84
2008,24.97
2008,25.78
2008,27.04
2008,27.85
2008,28.32
2008,29.22
2008,28.04
2008,26.92
2008,25.05
2008,20.07
2008,18.54
2008,19.66
2008,20.15
2008,22.2
2008,24.06
2008,24.08
2008,24.54
2008,24.37
2008,24.23
2008,22.68
2008,22.85
2008,22.1
2008,21.89
2008,21.73
2008,22.52
2008,20.21
2008,21.75
2008,22.79
2008,23.08
2008,23.43
2008,25.42
2008,22.93
2008,18.08
2008,18.93
2008,21.66
2008,22.75
2008,23.89
2008,24.78
2008,24.31
2008,24.53
2008,19.86
2008,19.62
2008,17.89
2008,17.68
2008,19.05
2008,20.23
2008,20.68
2008,13.82
2008,14.77
2008,17.32
2008,19.57
2008,13.06
2008,11.1
2008,14.08
2008,17.01
2008,18.64
2008,19.3
2008,19.03
2008,17.77
2008,18.71
2008,21.34
2008,20.7
2008,15.5
2008,16.84
2008,16.2
2008,19.23
2008,22.17
2008,19.03
2008,14.82
2008,17.86
2008,9.56
2008,7.53
2008,10.9
2008,11.36
2008,12.98
2008,16.12
2008,8.85
2008,9.75
2008,17.05
2008,17.48
2008,10.1
2008,14.02
2008,19.65
2008,20.39
2008,14.02
2008,9.77
2008,7.07
2008,10.59
2008,18.93
2008,7.65
2008,5.04
2008,7.84
2008,9.29
2008,15.89
2008,17.85
2008,2.43
2008,3.7
2008,6.53
2008,14.09
2008,18.95
2008,10.18
2008,5.44
2008,10.64
2008,18.11
2008,20.17
2008,19.27
2008,7.42
2008,2.37
2008,14.23
2008,16.95
2008,16.61
2008,21.04
2008,19.26
2008,7.95
2008,9.29
2008,11.21
2008,11.8
2009,11.57
2009,18.14
2009,20.58
2009,16.07
2009,6.89
2009,8.6
2009,9.29
2009,13.25
2009,18.49
2009,12.48
2009,6.61
2009,8.05
2009,4.81
2009,5.81
2009,8.23
2009,4.43
2009,11.59
2009,13.22
2009,10.34
2009,7.28
2009,7.6
2009,12.47
2009,17.13
2009,11
2009,9.64
2009,16.29
2009,17.56
2009,4.44
2009,5.04
2009,7.66
2009,9.47
2009,14.19
2009,11.13
2009,11.12
2009,8.53
2009,11.44
2009,15.65
2009,18
2009,17.75
2009,19.29
2009,20.75
2009,15.7
2009,15.14
2009,19.32
2009,15.25
2009,14.42
2009,11.62
2009,18
2009,19.9
2009,12.44
2009,11.03
2009,13.03
2009,8.12
2009,10.16
2009,16.86
2009,19.52
2009,20.95
2009,22.24
2009,12.79
2009,6.28
2009,8.78
2009,11.31
2009,16.77
2009,19.75
2009,20.5
2009,21.74
2009,22.5
2009,22.24
2009,22.75
2009,20.53
2009,9.42
2009,7.73
2009,7.64
2009,9.79
2009,14.89
2009,15.45
2009,16.13
2009,17.46
2009,18.02
2009,18.67
2009,19.46
2009,21.25
2009,22.18
2009,21.35
2009,20.79
2009,19.67
2009,10.27
2009,11.99
2009,17.76
2009,16.4
2009,14.51
2009,17.92
2009,14.79
2009,19.76
2009,17.85
2009,10.68
2009,11.63
2009,17.56
2009,21.19
2009,20.15
2009,17.36
2009,20.56
2009,16.98
2009,16.12
2009,17.8
2009,19.08
2009,19.96
2009,21.66
2009,18.32
2009,17.28
2009,19.4
2009,20.9
2009,21.89
2009,22.06
2009,23.14
2009,23.19
2009,23.39
2009,23.32
2009,23.17
2009,23.84
2009,24.6
2009,24.62
2009,24.23
2009,22.02
2009,24.77
2009,26.03
2009,25.99
2009,25.88
2009,25.95
2009,25.65
